Colonna X   -   Colonna Y=R(X)
4.4444444   -   0.2961199
4.4594595   -   0.2985667
4.4744745   -   0.3009659
4.4894895   -   0.303316
4.5045045   -   0.3056155
4.5195195   -   0.307863
4.5345345   -   0.3100571
4.5495495   -   0.3121965
4.5645646   -   0.3142797
4.5795796   -   0.3163056
4.5945946   -   0.3182728
4.6096096   -   0.32018
4.6246246   -   0.322026
4.6396396   -   0.3238096
4.6546547   -   0.3255297
4.6696697   -   0.3271852
4.6846847   -   0.328775
4.6996997   -   0.330298
4.7147147   -   0.3317533
4.7297297   -   0.3331399
4.7447447   -   0.3344569
4.7597598   -   0.3357033
4.7747748   -   0.3368785
4.7897898   -   0.3379816
4.8048048   -   0.3390118
4.8198198   -   0.3399685
4.8348348   -   0.3408511
